Subject,Code,Type,Semester,RequirementOf,Goal,About
Arquitetura de Sistemas Gerenciadores de Bases de Dados,SCC0243,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Objetivo: Fornecer conceitos, técnicas e características mais avançadas dos Sistemas Gerenciadores de Bases de Dados, complementando o conteúdo ministrado nas disciplinas básicas de bases de dados. Oferecer o conhecimento necessário ao profissional que se envolva em atividade de administração e gerenciamento de bases de dados.","Programa: Introdução aos conceitos e à teoria do processamento de transações. Técnicas de controle de concorrência: protocolo de bloqueio em duas fases e outras técnicas existentes. Técnicas de recuperação de falhas: algoritmo undo/redo. Algoritmos para processamento e otimização de consultas. Bases de dados distribuídas: conceitos, fragmentação, replicação e técnicas de alocação de dados, tipos de sistemas, processamento de consultas e controle de concorrência e de recuperação. Ajuste fino de desempenho: conceitos, projeto físico de bases de dados, estruturas de indexação de arquivos."
Processamento Analítico de Dados,SCC0245,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Apresentar conceitos, técnicas e ferramentas relevantes na área de processamento analítico de dados.","Introdução aos conceitos de processamento analítico dos dados: definição de data warehouse, data warehousing e OLAP (on-line analytical processing), diferenças entre o processamento analítico e o processamento transacional, características e organização dos dados do data warehouse, arquitetura do ambiente de data warehousing. Modelagem multidimensional dos dados: aspectos estáticos e dinâmicos. Representação do modelo de dados multidimensional em estruturas relacionais. Exemplos práticos de modelagem multidimensional dos dados. Visões materializadas: conceito, identificação de quais visões materializar, atualização e uso em consultas OLAP. Ferramentas de data warehousing.
Atividades de Extensão: Trabalhos práticos em tópicos de interesse da sociedade.
Carga horária: 60 horas."
Processamento de Imagens,SCC0251,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Fornecer ao aluno os subsídios necessários para a manipulação de imagens via computador, indicando as áreas de aplicação e as principais técnicas utilizadas.","Origem e Objetivos do processamento de imagens. Fundamentos de visão computacional e seu relacionamento com a visão humana. Dispositivos e formas de aquisição de imagens. Amostragem e Quantização. Sistemas de cores. Técnicas de modificação de escala de cinza. Suavização. Aguçamento de bordas. Transformada no domínio da frequência: Fourier. Restauração de imagens. Segmentação de imagens. Extração de características e noções de descrição e representação. Reconhecimento de padrões visuais.
Atividades de extensão: 
Materiais sobre métodos de processamento, edição e filtragem de imagens podem ser direcionados do ponto de vista de explicar como funcionam, ou então do ponto de vista ético e de seu uso disseminado em computação móvel e redes sociais.
Carga horária: 10 horas."
Interação Humano-Computador e Experiência do Usuário,SCC0260,Disciplinas Optativas Eletivas,7º Semestre Ideal,,Apresentar ao aluno conceitos fundamentais da interação entre o humano e o computador. Capacitar o aluno a discutir os tópicos envolvidos em áreas atuais de pesquisa. Dar ao aluno experiência no design e na avaliação de interfaces.,"Introdução aos conceitos fundamentais da interação entre o humano e o computador. Gerações de interfaces e dos dispositivos de interação. Princípios de projeto. Psicologia Experimental e Cognitiva Aplicada. Engenharia Cognitiva e Engenharia Semiótica. Design contextual, baseado em cenários e centrado na comunicação. Design Thinking. Métodos Ágeis e IHC. Técnicas para levantamento de requisitos. Aspectos humanos. Aspectos tecnológicos. Técnicas de prototipação. Ciclo de vida da engenharia de usabilidade. Princípios e heurísticas para usabilidade e acessibilidade. Métodos para avaliação da usabilidade e acessibilidade. Sistemas adaptáveis e sistemas adaptativos. Padrões e diretivas para o design de interfaces. Desenvolvimento de um projeto envolvendo a construção e a avaliação de interfaces, com bons requisitos de UX/UI.
Atividades de Extensão: Os estudantes podem fazer um projeto Web ou Mobile projetando de forma guiada a implementação de recursos para atender aos requisitos de usabilidade e acessibilidade nas interfaces (requisitos de qualidade de software). No projeto prático da disciplina, os alunos podem pensar soluções de design que atendam ONGs, escolas e instituições da cidade. A etapa de design dessas soluções pode ser feita em parceria com essas instituições e ao fim, os projetos front-end podem ser entregues às instituições. Também é possível que os alunos ministrem cursos e palestras sobre as boas práticas aprendidas na disciplina para funcionários de empresas, ou ainda preparem e disponibilizem material online para outros alunos e profissionais da área.
Carga horária: 10 horas."
Multimídia,SCC0261,Disciplinas Optativas Eletivas,7º Semestre Ideal,,Introdução aos conceitos de multimídia e investigação dos problemas envolvidos com o suporte computacional a dados de mídia e de aplicações multimídia.,"Tipos de dados de mídia: texto, imagem, gráficos, áudio, vídeo, animações. Padrões. Processamento de dados de mídia: captura, armazenamento, compressão, transmissão. Aplicações multimídia."
Redes Neurais e Aprendizado Profundo,SCC0270,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Apresentar ao aluno os conceitos básicos de Redes Neurais Artificiais e os principais modelos existentes. Analisar o comportamento destes modelos, suas capacidades fundamentais e limitações, possibilitando a utilização destas técnicas na resolução de problemas práticos.","Definição de modelos conexionistas. 
Aprendizado em modelos conexionistas: aprendizado supervisionado, não-supervisionado, competitivo. 
Arquiteturas básicas: Perceptron, Adaline, Perceptron Multi-Camadas, Redes RBF. 
Aprendizado profundo: arquiteturas convolucionais (CNN), encoder-decoder, redes adversárias, transfer learning, redes recorrentes e modelos de atenção. 
Sistemas de auto-organização: PCA, LDA e rede de Kohonen. Memórias Associativas: Redes de Hopfield. Aplicações.
Atividades de Extensão: Os estudantes podem realizar projetos em grupo para conscientização da população sobre algoritmos baseados em Redes Neurais profundas e seus impactos no uso da tecnologia do dia-a-dia, incluindo sistemas de recomendação de feeds em redes sociais, propagandas e vídeos. Há vários temas que podem ser vistos sob esta ótica. A realização de cursos para a sociedade, palestras e produção de conteúdo são possibilidades.
Carga Horária: 10 horas."
Aprendizado de Máquina,SCC0276,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Apresentar os aspectos fundamentais e principais algoritmos de aprendizado de máquina, que investiga técnicas para desenvolver algoritmos capazes de aprender, ou melhorar seu desempenho, utilizando exemplos de situações previamente observadas. Serão investigados algoritmos que seguem diferentes paradigmas, incluindo algoritmos baseados em procura (algoritmos de indução de arvores de decisão e de conjuntos de regras, redes neurais artificiais (perceptron e multilayer perceptron), modelos probabilísticos (regressão logística e naive Bayes) e algoritmos baseados em distancia. Além do estudo dos algoritmos de aprendizado baseados em diferentes paradigmas, será estudada a realização experimentos com desses algoritmos para entender  como eles induzem conhecimento utilizando aplicações reais.","Aspectos básicos de Aprendizado de Máquina. Tarefas e Paradigmas de Aprendizado. Indução de Hipóteses e Viés Indutivo. Pré-processamento de dados (amostragem, dados desbalanceados, limpeza, transformação e redução de dimensionalidade). Modelos Preditivos: métodos baseados em distâncias (k-NN), métodos probabilísticos (Naive Bayes e Regressão Logística), métodos baseados em procura (Indução de Árvores de Decisão e Regressão e de Conjuntos de Regras), métodos baseados em otimização (Redes Neurais Artificiais e Máquinas de Vetores de Suporte) e medidas de avaliação para modelos preditivos. Modelos Descritivos: regras de associação, análise de agrupamentos e medidas de avaliação para modelos descritivos. Aplicações de Aprendizado de Máquina.
Atividades de Extensão:
Os estudantes podem realizar projetos em grupo para conscientização da população sobre algoritmos baseados em Aprendizado de Máquina e seus impactos no uso da tecnologia do dia-a-dia, incluindo sistemas de risco (bancário, crédito, seguro), entre outros. Há vários temas que podem ser vistos sob esta ótica. A realização de cursos para a sociedade, palestras e produção de conteúdo são candidatos.
Carga Horária: 10 horas."
Recuperação da Informação,SCC0282,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Apresentar os fundamentos da recuperação de informação, abordando questões relevantes à arquiteturas, dados e informação, análise de conteúdo, busca textual, indexação, processamento de texto e avaliação de sistemas de recuperação. Analisar e desenvolver ferramentas e aplicações, como as presentes em sistemas atuais, aplicando a teoria de modo prático.","Histórico e terminologia. Caracterização do problema da recuperação: o problema de Recuperação de Informação; o sistema de Recuperação de Informação, a Web. O processo de recuperação. Modelos de recuperação: modelagem e ranking, o modelo clássico, modelos alternativos. Avaliação de sistemas de recuperação textual: métricas, coleções de referência, avaliação baseada em usuários. Indexação e busca textual. Processamento e agrupamento de documentos. Busca na web.
Atividades de Extensão:
Os estudantes podem realizar projetos em grupo para conscientização da população sobre algoritmos de recuperação de informação e seus impactos no uso da tecnologia do dia-a-dia, incluindo motores de busca, indexação textual, sistemas de recomendação em redes sociais, propagandas e anúncios. Há vários temas que podem ser vistos sob esta ótica. A realização de cursos para a sociedade, palestras e produção de conteúdo são candidatos.
Carga horária: 10 horas."
Sistemas de Recomendação,SCC0284,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Apresentar os fundamentos de sistemas de recomendação, abordando questões relevantes a arquiteturas, dados e informação, análise de conteúdo, técnicas e avaliação de sistemas de recomendação. Analisar e desenvolver ferramentas e aplicações, como as presentes em sistemas atuais, aplicando a teoria de modo prático.","Histórico e terminologia. Conceitos básicos: avaliações, predições, recomendações e taxonomia. Recomendação colaborativa: baseada em memória e baseada em modelos. Recomendação baseada em conteúdo: representação, baseada em similaridade e em classificação. Recomendação baseada em conhecimento: representação, inferência, baseada em restrições e exemplos, mecanismos de interação. Recomendação híbrida: estratégias e conceitos. Avaliação de recomendadores: métricas de avaliação, avaliação offline e online, projeto experimental e modelos de decisão. Tópicos avançados: segurança e privacidade, interpretabilidade, diversidade e novidade, socialização e ubiquidade.
Atividades de Extensão:
Os estudantes podem realizar projetos em grupo para conscientização da população sobre algoritmos de sistemas de recomendação e seus impactos no uso da tecnologia do dia-a-dia, incluindo recomendação de vídeos, texto, notícias, propagandas e anúncios em diferentes contextos. Há vários temas que podem ser vistos sob esta ótica. A realização de cursos para a sociedade, palestras e produção de conteúdo são candidatos.
Carga horária: 10 horas."
Processamento de Linguagem Natural,SCC0633,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Introduzir o aluno às técnicas, teorias e modelos utilizados em Processamento de Línguas Naturais, tornando-o apto a desenvolver recursos, ferramentas e aplicações computacionais que envolvam a língua humana, assim como a desenvolver pesquisa na área.","Visão geral da área de Processamento de Línguas Naturais (PLN) e sua relação com as áreas de Computação e Linguística. História da área e seus principais marcos. Níveis de representação e processamento linguístico: fonética e fonologia, morfologia, sintaxe, semântica, discurso e pragmática. Familiarização e prática com recursos, ferramentas e aplicações de PLN.
Abordagens e paradigmas para a resolução de problemas de PLN. Construção e anotação de córpus. Prática de projeto e desenvolvimento de um protótipo computacional de PLN.
Apresentação de tópicos relevantes atuais de PLN, assim como modelos e métodos associados.

Atividades de extensão: Alguns projetos práticos poderiam ser voltados para aplicações em tópicos de interesse para a sociedade, como desenvolvimento de modelos de detecção de fake news e de análise de sentimentos da população sobre determinados assuntos nas redes sociais (usando, por exemplo, dados disponíveis publicamente em repositórios como Kaggle e em portais científicos com conjuntos de dados).
A carga horária de atividades de extensão corresponde à 10 horas."
Tópicos Avançados em Ciências de Computação I,SCC0910,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Apresentar aos alunos ideias mais avançadas de tópicos em Ciências de Computação, incluindo teoria e prática.",Apresentação da motivação para escolha do tema da disciplina. Implicações no universo da Ciência de Computação. Teoria que fundamenta o tema e suas ramificações. Exemplos de aplicação. Trabalho teórico e/ou prático.
Redes Complexas,SME0130,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Introduzir os conceitos básicos da teoria das redes complexas com a apresentação das ferramentas fundamentais para a representação, modelagem e caracterização e classificação de redes complexas. Os conceitos serão aplicados na análise da Internet, da World Wide Web, da linguagem, da sociedade, de cadeias alimentares, das interações celulares e de malhas rodoviárias.","Introdução e motivação. Representação de redes complexas. Medidas para caracterização topológica de redes complexas: grau, coeficiente de aglomeração, número de ciclos, comprimento dos menores caminhos, motivos, medidas de centralidade, medidas espectrais, medidas hierárquicas, medidas fractais, estrutura de comunidades. Modelos e Algoritmos de Geração de Redes Complexas: grafos aleatórios, modelo small world, redes livre de escala, redes com estrutura hierárquica, modelo de configuração. Redes ponderadas. Redes espaciais. Métodos de detecção de comunidades. Processos dinâmicos em redes complexas: caminhadas aleatórias, falhas e ataques, falhas em cascata, comunicação e congestionamento, propagação de epidemias, propagação de opiniões, sincronização e dinâmica coletiva. Otimização em redes complexas: otimização de fluxo em redes e robustez. Busca em redes e navegação. Função Geradora. Algoritmos: page-rank, grau de intermediação, detecção de comunidades, sincronização, falhas em cascata, caminhadas aleatórias. Aplicações: redes sociais, Internet,world Wide Web, Bioinformática, cérebro, malhas rodoviárias, linguagem, processamento de imagens, reconhecimento de padrões. Classificação de redes complexas."
Estatística Computacional,SME0806,Disciplinas Optativas Eletivas,7º Semestre Ideal,,Estudar técnicas computacionais utilizadas na solução de problemas de Estatística.,"1. Medidas robustas de locação e dispersão. 2. Geração de números pseudo-aleatórios e aplicações. 3. Métodos de reamostragem: ""bootstrap"" e ""jacknife"". 4. Otimização numérica: métodos de Newton-Raphson, escore de Fisher e quase-Newton. 5. O algoritmo EM. 6. Métodos de Monte Carlo com cadeias de Markov: o amostrador de Gibbs e o algoritmo de Metropolis-Hastings. 7. Noções de regressão robusta."
Prática em Sistemas Operacionais,SSC0141,Disciplinas Optativas Eletivas,7º Semestre Ideal,,Exercitar os conceitos básicos abordados em Sistemas Operacionais I e introduzir o aluno aos aspectos técnicos e de implementação relativos à teoria estudada na disciplina anterior.,"Revisão de conceitos básicos em sistemas operacionais. Estudo de caso de padrões de indústria (POSIX IEEE 1003, ISO/IEC 945) e de sistemas operacioanais reais. Práticas de projeto e implementação envolvendo acesso e programação de recursos de sistemas operacionais modernos: execução de , manipulação de entrada-saída, controle de terminal, gerenciamento de tarefas, threads, mecanismos de sincronização, sistemas de arquivo."
Tópicos Especiais em Sistemas de Computação I,SSC0147,Disciplinas Optativas Eletivas,7º Semestre Ideal,,Atualização do estudante em tópicos atuais da área de Sistemas de Computação.,"Tópicos selecionados em Sistemas de Computação de acordo com a evolução registrada na área, bem como os projetos de pesquisa em andamento no Departamento de Sistemas de Computação."
Seminários Avançados em Sistemas Distribuídos e Programação Concorrente I,SSC0154,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Fornecer ao aluno conceitos avançados em Sistemas Distribuídos e Programação Concorrente, permitindo que ele conheça algumas das principais pesquisas em desenvolvimento nos principais centros de pesquisa nacionais e internacionais. Tem também por objetivo motivar a Iniciação Científica e fortalecer a ligação da graduação com a pós-graduação do departamento, incentivando alunos de graduação a participarem da trilha.","Tópicos selecionados em Sistemas Distribuídos, Programação Concorrente, Estudo das Arquiteturas de Computadores e suas Implementações, Avaliação de Desempenho ou Rede de Computadores de acordo com a evolução registrada na área, bem como os projetos de pesquisa relevantes na área de Sistemas Distribuídos e Programação Concorrente."
Computação em Nuvem e Arquitetura Orientadas a Serviços,SSC0158,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Ensinar aos alunos aspectos teóricos e práticos do desenvolvimento de aplicações distribuídas segundo o modelo de computação em nuvem, focando aspectos de virtualização, arquiteturas orientadas a serviços, escalonamento e interfaces de programação para computação em nuvem.","Escopo da computação em nuvem e arquiteturas orientadas a serviços: Contexto, motivação, objetivos, conceitos e recursos necessários.
Definições para Computação em Nuvem:  Abordagem geral de computação em nuvem e sua aplicabilidade para o desenvolvimento de aplicações distribuídas. Vertentes de computação em nuvem: software, plataforma, infraestrutura como serviços, entre outras.
Definições para Arquiteturas Orientadas a Serviços  SOA e Web Services: Introdução ao modelo arquitetural, instalação, configuração e desenvolvimento de aplicações orientadas a serviços. Implantação de aplicações na nuvem.
Princípios Gerais e tipos de Virtualização: Introdução, características e tipos de virtualizadores, vantagens e desvantagens.
Gerenciamento de Recursos na Nuvem: Desafios e soluções que envolvem o escalonamento, provisionamento e migração de recursos na nuvem.
Desenvolvimento e avaliação de desempenho de aplicações distribuídas na nuvem: Ferramentas, modelos e técnicas que permitem o desenvolvimento de aplicações na nuvem. Avaliação de desempenho em um ambiente de nuvem.

Atividades de extensão: Desenvolvimento de modelos de aplicações de Cloud Computing e projetos de softwares para a sociedade segundo o paradigma de computação em nuvem com infraestrutura, plataforma e software como serviço em qualquer ambiente (público ou privado). A carga horária corresponde a 30 horas."
Modelagem e Simulação de Sistemas Computacionais,SSC0160,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"O objetivo do curso é introduzir aos alunos os conceitos fundamentais de modelagem e simulação como uma ferramenta para a resolução de problemas na ciência em geral, e na área de ciência da computação em específico.","Modelagem: definições, tipos de modelos, vantagens e desvantagens;
Modelos estocásticos: geração de variáveis uniformemente distribuídas e estatisticamente dependentes, processo de Poisson, modelos elementares de filas, redes de filas;
Simulação:  tipos de simulação, simulação de sistemas de eventos discretos, desenvolvimento, validação do modelo, análise dos resultados, modelagem de carga de trabalho;
Planejamento de experimentos: nomenclatura, tipos de planejamento."
Programação de Robôs Móveis,SSC0712,Disciplinas Optativas Eletivas,7º Semestre Ideal,,Introduzir conceitos básicos sobre hardware e software de robôs móveis. Familiarizar o aluno com os sensores e atuadores mais comuns utilizados na robótica móvel. Estudo de arquiteturas e softwares de controle de robôs móveis. Implementação em laboratório de algoritmos de navegação para a solução de problemas clássicos da robótica móvel.,"História e evolução da robótica móvel. Descrição e análise de características dos sensores e atuadores mais utilizados na área de robótica móvel. Estudo das arquiteturas de robôs móveis. Estudo de algoritmos de navegação e de cooperação de robôs móveis. Estudo e utilização da ferramenta Player/Stage para a programação e controle de robôs móveis. Desenvolvimento de projetos em laboratório utilizando simuladores de robôs móveis na solução de problemas.

Atividades de extensão: Disponibilização de material didático. A carga horária corresponde a 10 horas."
Robôs Móveis Autônomos,SSC0714,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Fornecer o conteúdo teórico-prático básico relativos à Robótica Móvel Autônoma, visando o projeto de sistemas de controle de navegação. Será dada ênfase à implementação de modelos inteligentes de controle. Os alunos irão realizar trabalhos práticos de implementação de algoritmos de controle inteligente de robôs móveis autônomos reais e simulados, em tarefas de navegação, coleta de objetos e planejamento de trajetória.","Visão geral da área de robótica móvel, apresentando um histórico e as técnicas de navegação de robôs móveis mais utilizadas na literatura. Apresentação dos componentes e subsistemas de robôs móveis autônomos, incluindo microprocessadores, sensores e atuadores. Introdução de conceitos de controle de navegação em robôs móveis. Apresentação das principais técnicas para obtenção de autonomia, inteligência e adaptabilidade. Aplicações em tarefas de exploração, navegação, coleta de objetos e planejamento de trajetória. Introdução a algoritmos de controle inteligentes aplicados à robótica móvel."
Sistemas Colaborativos: Fundamentos e Aplicações,SSC0723,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Oferecer os fundamentos para o desenvolvimento e a aplicação de sistemas colaborativos. Ao final da disciplina o aluno deverá ser capaz de analisar e desenvolver sistemas colaborativos utilizando o estado da arte da tecnologia vigente. Além disto deverá ser capaz de aplicar os conceitos de sistemas colaborativos em diferentes situações e implantar soluções que viabilizem o trabalho em grupo. Espera-se também que o aluno trabalhe as habilidades de especificar, prototipar, analisar, projetar, implementar, testar e avaliar sistemas colaborativos em situações reais de uso. O aluno também deve ser capaz de realizar pesquisas científicas dentro desta temática.","Fundamentos sobre Sistemas Colaborativos (Groupware, CSCW, teorias e modelos de colaboração). Desenvolvimento de sistemas colaborativos. Aplicação de Sistemas Colaborativos em ambientes organizacionais (sociedade, empresas, escolas, etc). Colaboração em processos de negócio. Gestão de conhecimento e memória de grupo. Formação de grupos. Folksonomia. Integração hardware-software na construção de sistemas colaborativos. Colaboração na computação móvel. Sistemas colaborativos aplicados à Educação (CSCL). Sistemas colaborativos aplicados ao desenvolvimento de software. Avaliação de sistemas colaborativos. Inteligência Artificial para Sistemas Colaborativos. Metodologia de pesquisa científica em Sistemas Colaborativos."
Arquitetura de Software,SSC0725,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Oferecer aos alunos uma visão abrangente de arquitetura de software, com especial atenção aos processos para a construção, bem como métodos e técnicas para a representação e avaliação de arquiteturas de software. Discutir o impacto de arquitetura de software para a qualidade de sistemas de software. Oferecer uma visão e relevância do uso de ferramentas de apoio à construção, representação e avaliação de arquiteturas. Discutir as tendências futuras de pesquisa na área de Arquitetura de Software.","Visão geral de arquiteturas de software: definições, objetivos e relevância. Processo para a construção de arquitetura de software. Métodos e técnicas para a representação de arquiteturas de software, incluindo-se visão arquiteturais e linguagens de descrição arquitetural. Métodos para a avaliação de arquiteturas de software. Ferramenta de suporte à construção, representação e avaliação de arquiteturas de software. Arquitetura de software na indústria de software. Perspectivas de pesquisa em arquitetura de software."
Sistemas Embarcados,SSC0740,Disciplinas Optativas Eletivas,7º Semestre Ideal,SSC0741,"Introduzir os Sistemas Embarcados e as suas áreas de aplicação. Integração entre sistemas de comunicação, multimídia e processamento incluindo dados em RF (radio freqüência) que continuam a expandir a complexidade dos sistemas embarcados, destacando exemplos existentes. Conceituar Sistemas DES (Distributed Embedded System) com grande número de elementos possuindo diferentes funcionalidades sendo considerados nós inteligentes, atuando através de sensores e atuadores, que configuram sistemas cada vez mais complexos e mais necessários às aplicações recentes.","Introdução aos Sistemas Embarcados; Estudo das principais características dos elementos de computação tipo (DSP - Digital Signal Processing, processadores, FPGA e ASICs) voltados para aplicações embarcadas; Levantamento das limitações e capacidades do hardware e software destes elementos para a implementação de sistemas embarcados; Metodologias para comparar os resultados entre as diferentes tecnologias. Redes em sistemas de tempo real, escalonamento de mensagens, considerações sobre comunicação evento/tempo, impacto do meio físico, topologias e controle de acesso ao meio.

Atividades de extensão: Projetos que resolvam problemas fora da USP. A carga horária corresponde a 15 horas."
Projeto e Desenvolvimento de Software de Sistema,SSC0950,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Introduzir o aluno aos fundamentos do desenvolvimento de software de sistemas, desafios técnicos, metodológicos e estado da arte.","Fundamentos conceituais: introdução ao software de sistema, evolução histórica e estado da arte.  Projeto de software de sistema: projeto e desenvolvimento de sistemas operacionais, bibliotecas de programação estáticas e dinâmicas, compiladores, utilitários de sistema. Programação de software de sistema: ferramentas, depuração, emuladores, testes.  Portabilidade de software: desenvolvimento de software portável, compilação cruzada, porte de bibliotecas e compiladores, requisitos de desempenho e manutenção. Estudo de caso: padrão POSIX, comparações com outros padrões."
Desenvolvimento de Código Otimizado,SSC0951,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Proporcionar um aprendizado mais aprofundado sobre desenvolvido de código, focando nos requisitos de desempenho, segurança e confiabilidade.","Técnicas de otimização de código: Técnicas independentes do processador, técnicas dependentes do processador, detecção de código quente, profiling: objetivos, metodologias  e ferramentas.
Aceleração de Aplicações: Otimizações Simples; Otimizações na Compilação; Vetorização de Código; Bibliotecas Otimizadas; Otimizações de Acesso a Dados.
Desenvolvimento de código seguro: prevenção de buffer overflow, prevenção por formatação de strings, prevenção por overflow de inteiro.
Desenvolvimento de código confiável: práticas para desenvolvimento de código confiável."
Teste e Inspeção de Software,SSC0959,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Fornecer uma visão geral da área de Verificação, Validação e Teste de Software (VV&amp;T), com ênfase em estratégias, técnicas e critérios de teste de software e ferramentas associadas que podem ser aplicados na construção de software.","Qualidade de software e VV&amp;T. Terminologia e conceitos básicos de teste. VV&amp;T durante o processo de desenvolvimento de software: Teste de Unidade, de Integração e de Sistemas. Técnicas de teste de software: teste funcional, estrutural e baseado em defeitos. Teste de Regressão. Estratégias de teste de software. Planejamento da atividade de teste de software. Teste baseado em riscos. Inspeção e revisão de software. Automatização da atividade de teste: ferramentas de seleção de geração de dados de teste. Teste de software em novos domínios de software."
Laboratório de desenvolvimento de aplicações para dispositivos móveis,SCC0225,Disciplinas Optativas Eletivas,8º Semestre Ideal,,Fornecer aos alunos  uma visão ampla e prática do desenvolvimento de aplicações para dispositivos móveis.,"Visão histórica de dispositivos móveis e aplicações. Características e arquitetura de dispositivos móveis. Ambientes de desenvolvimento de aplicações e linguagens de programação. Sistemas operacionais para dispositivos móveis.  Aspectos de interação incluindo projeto de interfaces. Recursos de acessibilidade. Desenvolvimento de aplicações nativas. Questões de armazenamento e comunicação. Especificidades de desempenho e segurança. Desenvolvimento de aplicações básicas abrangendo elementos de interação, de armazenamento, e de comunicação. Publicação e distribuição de aplicações móveis. Desenvolvimento de aplicação integrada."
Introdução a Sistemas Inteligentes,SCC0231,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Fornecer uma visão mais detalhada dos sistemas de Inteligência Artificial, enfatizando técnicas e métodos de aquisição e representação de conhecimento.","Caracterização de Sistemas Inteligentes. Introdução a Sistemas Baseados em Conhecimento. Aprendizado: simbólico, nebuloso, conexionista, genético e probabilístico. Raciocínio baseado em Caso. Sistemas Híbridos. Descobrimento em Base de Dados: Mineração de Dados."
Aplicações de Aprendizado de Máquina e Mineração de Dados,SCC0233,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Familiarizar os alunos com a aplicação técnicas de Aprendizado de Máquina e Mineração de Dados em problemas reais, utilizando para isso as técnicas e ferramentas vistas em disciplinas relacionadas.",Pré-processamento de dados e construção de modelos utilizando técnicas descritivas e preditivas. Análise de desempenho.
Mineração a partir de Grandes Bases de Dados,SCC0244,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"Apresentar conceitos, técnicas e ferramentas relevantes na área de descoberta de conhecimento em bases de dados e mineração de dados, sob a perspectiva da área de bases de dados, explorando com profundidade os aspectos associados a esta área.","Introdução aos conceitos do processo de descoberta de conhecimento.  Técnicas de preparação de dados. Técnicas de redução de dados. Tarefas e técnicas de mineração de dados: classificação, regressão, detecção de agrupamentos, descoberta de regras de associação, sumarização, modelagem de dependências, detecção de tendências e exceções. Conceitos e técnicas de visualização de dados. Mineração de dados visual. Exemplos de mineração de dados em domínios específicos, tais como: bioinformática, sistemas de informação geográfica, bases de dados de imagens, bases de dados de documentos textuais, bases de dados multimídia, sistemas Web, bases de dados espaço-temporais, sistemas baseados em data streams. Ferramentas de mineração de dados
Atividades de Extensão: Trabalhos práticos em tópicos de interesse da sociedade.
Carga horária: 5 horas."
Visualização Computacional,SCC0252,Disciplinas Optativas Eletivas,8º Semestre Ideal,,"O objetivo desta disciplina é fornecer uma introdução à área de Visualização de Dados e Análise Visual de Dados. Pretende-se abordar o que é Visualização, quais os seus objetivos, introduzir as técnicas clássicas e os tipos e estruturas de dados que podem ser manipulados. Serão apresentadas as técnicas e os diferentes tipos de dados, bem como tarefas típicas de análise, ilustradas em diferentes cenários de aplicação. Buscamos apresentar uma visão geral que reflita a situação atual da área, bem como aplicações e exemplos práticos, bem como estimular a execução de tarefas de análise visual de dados.","Introdução: Visualização, Mineração Visual e Analítica Visual de dados; aplicações em ciência e em atividades profissionais variadas (software, texto, imagem, redes, censos, medicina, biologia, etc como fontes de dados). Visualização em Ciência de Dados e Big Data. Problemas e desafios da visualização. Tipos de dados e organização de dados, pré-processamento de dados. Técnicas de visualização básicas e sua classificação. Visualização de dados espaciais: superfícies e volumes, comparação; dados vetoriais e tensoriais. Visualização de dados abstratos: projeções, ícones, técnicas hierárquicas, visualização de grafos, técnicas de visualização baseadas em pontos, técnicas baseadas em pixel, técnicas baseadas em eixos e em atributos. Tarefas e estratégias de interação em análise visual de dados. Dados de múltiplos tipos, atributos de imagens e de textos; sumarização visual; escalabilidade. Aplicações e avanços recentes, recursos em visualização; visualização na mídia."
